,country,year,ppl_acc,ppl_no_acc,gdp_capita,e_non_ebt,e_ebt,e_co2_em
203,Brazil,1993,141419299,15713383,6359,1023.7313442249999,631.7077290699999,33861737.15784048
204,Brazil,1994,146112447,13592676,7051,1087.503058132,652.87690432,33974339.321780995
205,Brazil,1995,148872407,13424205,8073,1144.267308398,682.89142231,35242042.89644843
206,Brazil,1996,153150197,11763109,9500,1212.349371365,717.167656958,38620694.45909842
207,Brazil,1997,156410345,11134819,9121,1286.346277274,753.565660516,42913902.68442261
208,Brazil,1998,160290213,9880427,8661,1327.280706353,786.787455285,44221099.09208186
209,Brazil,1999,163711772,9047471,8279,1359.1346465699999,793.100006028,51292406.86142439
210,Brazil,2000,165588168,9699419,8316,1365.6212602199998,821.7351657689999,55492555.08584588
211,Brazil,2001,170670022,7080648,8188,1424.0472072900002,728.687649995,60910834.66490592
212,Brazil,2002,174121359,6029662,8190,1427.5452875199999,779.945123586,54821393.92951483
213,Brazil,2003,176971367,5510782,8038,1414.96094838,835.7143763360001,54423814.67572446
214,Brazil,2004,178762367,5976091,8365,1489.66761926,877.192006676,59976860.32345693
215,Brazil,2005,181484632,5432729,8639,1515.45926603,924.0539821639999,63712916.82414052
216,Brazil,2006,184465367,4547045,9324,1548.7613998,957.3983842509999,63264923.66520239
217,Brazil,2007,187445617,3581020,10264,1632.75601102,1033.382663037,62193341.55821327
218,Brazil,2008,190135724,2843305,11352,1763.3329581499997,1027.008119695,74824820.70715222
219,Brazil,2009,192668214,2227782,11700,1682.91376672,1091.750824217,63685824.7142335
220,Brazil,2010,194598166,2198103,13418,1910.22183435,1150.030555941,76714225.75699915
221,Brazil,2011,197352886,1333802,14831,1988.69297731,1219.137659228,69533029.584053
222,Brazil,2012,199597275,963708,14702,2072.6799948899998,1199.1808796169998,89083834.90813549
223,Brazil,2013,201548701,859931,14943,2247.90106425,1152.7474877569998,115904194.97726853
224,Brazil,2014,203498891,714242,14825,2344.88837331,1136.9732097610001,136686441.84775597
225,Bulgaria,1990,8718289,0,10874,315.42901098000004,4.942105263,50936430.64556535
226,Bulgaria,1991,8632367,0,11396,253.40522736999998,6.423684211,40781335.825361185
227,Bulgaria,1992,8540164,0,11858,238.59709957,5.428947367999999,39455003.012515016
228,Bulgaria,1993,8472313,0,8978,254.05617278000003,5.1105263160000005,40072824.87646749
229,Bulgaria,1994,8443591,0,8979,245.32347133,3.863157895,37466153.444890484
230,Bulgaria,1995,8406067,0,9075,261.17236241,6.089473684,38674368.267196976
231,Bulgaria,1996,8362826,0,7834,259.27945296,7.681578947,38958319.07535934
232,Bulgaria,1997,8312068,0,7133,245.09348692,7.247368421,32119359.990599826
233,Bulgaria,1998,8256786,0,7706,233.96820892000002,8.15,31106432.53278276
234,Bulgaria,1999,8210624,0,7987,204.50176066,7.244736842000001,28735199.239083577
235,Bulgaria,2000,8170172,0,8671,205.64755774999998,7.034210526,28431511.432280913
236,Bulgaria,2001,8009142,0,9121,217.57945804,4.571052632,32028854.8998876
